"Year","Month","Dekad","NDVI","Average"
2016,1,1,0.1043128,0.1129384
2017,1,1,0.1156002,0.1129384
2017,1,1,0.1205273,0.1129384
2018,1,1,0.1166741,0.1129384
2018,1,1,0.1125191,0.1129384
2018,1,2,0.1066361,0.1118694
2017,1,2,0.1117716,0.1118694
2016,1,2,0.114902,0.1118694
2016,1,3,0.112327,0.1098499
2017,1,3,0.1098188,0.1098499
2018,1,3,0.1038832,0.1098499
2018,2,1,0.1028178,0.108837
2017,2,1,0.1084029,0.108837
2016,2,1,0.1111098,0.108837
2016,2,2,0.1098517,0.1078486
2017,2,2,0.1071348,0.1078486
2018,2,2,0.1020821,0.1078486
2018,2,3,0.1013974,0.1069537
2017,2,3,0.1060005,0.1069537
2016,2,3,0.1087086,0.1069537
2016,3,1,0.10449,0.1054018
2017,3,1,0.103816,0.1054018
2018,3,1,0.0999058,0.1054018
2018,3,2,0.099963,0.1048741
2017,3,2,0.1032721,0.1048741
2016,3,2,0.1019224,0.1048741
2016,3,3,0.1006852,0.104527
2017,3,3,0.1031459,0.104527
2018,3,3,0.1005179,0.104527
2018,4,1,0.1007397,0.1044282
2017,4,1,0.1033162,0.1044282
2016,4,1,0.1014492,0.1044282
2016,4,2,0.1097082,0.1049202
2017,4,2,0.1029583,0.1049202
2018,4,2,0.1014791,0.1049202
2018,4,3,0.1020202,0.1055036
2017,4,3,0.1029698,0.1055036
2016,4,3,0.1158093,0.1055036
2016,5,1,0.1211954,0.1060397
2017,5,1,0.1038397,0.1060397
2018,5,1,0.1027007,0.1060397
2018,5,2,0.1032381,0.1062967
2017,5,2,0.1057909,0.1062967
2016,5,2,0.1249516,0.1062967
2016,5,3,0.1237872,0.1054009
2017,5,3,0.1108831,0.1054009
2018,5,3,0.103227,0.1054009
2018,6,1,0.1029022,0.1042439
2017,6,1,0.1122745,0.1042439
2016,6,1,0.1200834,0.1042439
2016,6,2,0.1156412,0.10281
2017,6,2,0.1119077,0.10281
2018,6,2,0.1023435,0.10281
2018,6,3,0.1013924,0.1012534
2017,6,3,0.1102947,0.1012534
2016,6,3,0.1114253,0.1012534
2016,7,1,0.1058709,0.0988226
2017,7,1,0.1060328,0.0988226
2018,7,1,0.0992783,0.0988226
2018,7,2,0.0984137,0.0985213
2017,7,2,0.1046623,0.0985213
2016,7,2,0.1056321,0.0985213
2016,7,3,0.1074153,0.0988805
2017,7,3,0.1041401,0.0988805
2018,7,3,0.0980758,0.0988805
2018,8,1,0.0989206,0.1019734
2017,8,1,0.1063572,0.1019734
2016,8,1,0.1162461,0.1019734
2016,8,2,0.1209479,0.1046288
2017,8,2,0.1086612,0.1046288
2018,8,2,0.1001128,0.1046288
2018,8,3,0.1014672,0.1077432
2017,8,3,0.1114756,0.1077432
2016,8,3,0.1240658,0.1077432
2016,9,1,0.125837,0.111014
2017,9,1,0.1143348,0.111014
2018,9,1,0.1028747,0.111014
2018,9,2,0.105325,0.1167796
2017,9,2,0.1182816,0.1167796
2016,9,2,0.1268401,0.1167796
2016,9,3,0.1264251,0.1187069
2017,9,3,0.1186567,0.1187069
2018,9,3,0.1063557,0.1187069
2018,10,1,0.1076042,0.1199891
2017,10,1,0.118135,0.1199891
2016,10,1,0.1258577,0.1199891
2016,10,2,0.125171,0.1205472
2017,10,2,0.1169907,0.1205472
2018,10,2,0.1089317,0.1205472
2018,10,3,0.11338,0.1202004
2017,10,3,0.1152523,0.1202004
2016,10,3,0.1232974,0.1202004
2016,11,1,0.122122,0.1196293
2017,11,1,0.1147516,0.1196293
2018,11,1,0.1155337,0.1196293
2018,11,2,0.1172931,0.1188792
2017,11,2,0.1137408,0.1188792
2016,11,2,0.1207798,0.1188792
2016,11,3,0.1181457,0.1174015
2017,11,3,0.1117514,0.1174015
2018,11,3,0.1187887,0.1174015
2018,12,1,0.1186617,0.1167066
2017,12,1,0.1110372,0.1167066
2016,12,1,0.1169235,0.1167066
2016,12,2,0.1155869,0.1159016
2017,12,2,0.1103597,0.1159016
2018,12,2,0.1180869,0.1159016
2018,12,3,0.1171823,0.1150867
2017,12,3,0.1098293,0.1150867
2016,12,3,0.1144552,0.1150867