AdminStrata,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Boucle-Du-Mouhoun,Cascades,Cascades,Cascades,Cascades,Centre,Centre,Centre,Centre,Centre-Est,Centre-Est,Centre-Est,Centre-Est,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Nord,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Ouest,Centre-Sud,Centre-Sud,Centre-Sud,Centre-Sud,Est,Est,Est,Est,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Hauts-Bassins,Nord,Nord,Nord,Nord,Plateau-Central,Plateau-Central,Plateau-Central,Plateau-Central,Sahel,Sahel,Sahel,Sahel,Sud-Ouest,Sud-Ouest,Sud-Ouest,Sud-Ouest
Food Group,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts,Cereals and tubers,Cereals and tubers,Cereals and tubers,Pulses and nuts
Commodity,Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG),Maize (white) - Retail (KG),Millet - Retail (KG),Sorghum (white) - Retail (KG),Beans (niebe) - Retail (KG)
2018-01-31,0.4578619909502264,0.36026125816431775,0.400932400932401,0.5515053967051694,0.2160633484162896,0.7555861120660022,0.5909090909090909,0.6750615413747395,0.5452488687782806,0.8267445857683052,0.8216783216783216,0.7981442908540047,0.4332579185520362,0.5402543829494671,0.4289044289044289,0.5273622419996212,0.664027149321267,0.6426607081471297,0.6555944055944055,0.4819163037303541,0.501131221719457,0.6145067033344792,0.5118881118881117,0.5213027835637188,0.46889140271493224,0.610175317978687,0.5384615384615384,0.6703275894716908,0.638235294117647,0.5902863035898444,0.6386946386946387,0.5993183109259609,0.28846153846153844,0.5340666895840495,0.3776223776223776,0.49706494982010974,0.6131221719457014,0.5854245445170162,0.527972027972028,0.49706494982010974,0.5418552036199096,0.6978343073221039,0.4772727272727272,0.5415640977087671,0.7794117647058825,0.7184599518734961,0.717948717948718,0.6750615413747395,0.3993212669683258,0.7060845651426607,0.5846153846153846,0.5978034463169853
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
