"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2019,1,1,100,112.531190737599,0,0
2019,1,2,100,134.164138130328,0,0
2019,1,3,100,108.216766115622,0,0
2019,2,1,100,100.02,0,0
2019,2,2,100,100,0,0
2019,2,3,100.25,100.25,0.025,0
2019,3,1,100.319425034937,100.319425034937,0.025,0.018
2019,3,2,100.308212368264,100.308212368264,0.039,0.04
2019,3,3,99.8653846153846,100.105769230769,0.322,0.342
2019,4,1,98.0109441500912,98.2915618766802,0.923,1.131
2019,4,2,94.6040845575063,94.8476414757725,1.957,2.482
2019,4,3,90.6263688129654,90.8861980282898,3.672,4.651
2019,5,1,102.324711748208,101.632908003926,17.207,14.957
2019,5,2,143.98287771184,138.471936005673,28.321,11.508
2019,5,3,180.011410196567,166.992948110725,48.596,21.378
2019,6,1,171.149454453184,153.933214161052,34.493,28.052
2019,6,2,129.630179711867,135.290375203915,20.375,28.099
2019,6,3,112.14099086022,136.344230769231,47.153,33.742
2019,7,1,155.360541340664,157.910885417172,113.494,51.113
2019,7,2,171.25536014324,158.54706383756,93.338,59.292
2019,7,3,153.439557699144,148.780981284775,72.354,68.064
2019,8,1,112.42298899566,137.908958975276,56.421,69.108
2019,8,2,91.6485678172788,126.213348627142,67.152,77.52
2019,8,3,100.221909004723,122.372855936284,105.342,81.758
2019,9,1,110.193864458183,122.065211372753,53.679,45.047
2019,9,2,128.546501179703,126.407949712049,52.723,35.696
2019,9,3,136.84880018383,127.642342545115,50.351,31.109
2019,10,1,178.150526068103,123.92558914039,45.92,12.442
2019,10,2,231.785696352955,124.995651576876,32.214,6.196
2019,10,3,323.294168707567,131.532772251977,16.151,3.619
2019,11,1,292.908473899591,142.900431474589,0.328,0.223
2019,11,2,191.294610605404,162.195585828652,0,0
2019,11,3,101.027095764453,181.086661308649,0,0
2019,12,1,100,209.182655990331,0,0
2019,12,2,100,243.696236770511,0,0
2019,12,3,100,322.084359605911,0,0
2020,1,1,100,292.908473899591,0,0
2020,1,2,100,191.294610605404,0,0
2020,1,3,100,101.027095764453,0,0
2020,2,1,100,100,0,0
2020,2,2,100,100,0,0
2020,2,3,100,100,0,0
2020,3,1,100.219604711519,100.219604711519,0.04,0.018
2020,3,2,100.467289719626,100.467289719626,0.065,0.04
2020,3,3,102.769230769231,102.769230769231,0.583,0.342
2020,4,1,119.768956831408,119.928887347151,3.141,1.131
2020,4,2,108.233608025797,108.534931848997,1.38,2.482
2020,4,3,101.992991677617,103.493356193742,4.107,4.651
2020,5,1,89.6416329074478,96.9483358615151,13.279,14.957
2020,5,2,83.6146512306645,87.7218639898956,6.993,11.508
2020,5,3,70.6878965475511,75.4867908641196,10.616,21.378
2020,6,1,81.5486763088894,85.0466993156408,30.24,28.052
2020,6,2,89.1898685007255,87.7243066884176,27.211,28.099
2020,6,3,93.3739100837897,85.1217948717949,25.823,33.742
2020,7,1,88.2907428794509,85.0423823440883,45.523,51.113
2020,7,2,81.8212485484635,83.1726232153186,44.779,59.292
2020,7,3,103.899315006712,95.0261338728714,95.516,68.064
2020,8,1,99.2124535027898,92.3461178474902,54.543,69.108
2020,8,2,98.3777793601909,90.7858538246469,60.988,77.52
2020,8,3,93.8159120082555,97.2349175527087,98.113,81.758
2020,9,1,111.909483261402,101.814248591389,70.749,45.047
2020,9,2,136.217181349673,105.798170662852,56.114,35.696
2020,9,3,150.673768177789,110.280552366434,46.736,31.109
2020,10,1,135.547413358432,111.351002783469,8.122,12.442
2020,10,2,111.327765410816,115.013045269373,1.657,6.196
2020,10,3,64.3798245342096,109.534356165855,0.988,3.619
2020,11,1,65.2809661642878,116.565001152795,0.436,0.223
2020,11,2,82.531426094495,129.556813658278,0,0
2020,11,3,102.083537122175,134.967990466425,0,0
2020,12,1,100,124.946366520622,0,0
2020,12,2,100,106.840805799745,0,0
2020,12,3,100,65.2801724137931,0,0
2021,1,1,100,65.2809661642878,0,0
2021,1,2,100,82.531426094495,0,0
2021,1,3,100,102.083537122175,0,0
2021,2,1,100,100,0,0
2021,2,2,100,100,0,0
2021,2,3,100,100,0,0
2021,3,1,100.079856258734,100.079856258734,0.026,0.018
2021,3,2,100.119308013522,100.119308013522,0.044,0.04
2021,3,3,100.019230769231,100.019230769231,0.332,0.342
2021,4,1,97.0815599756797,97.1554938860463,0.801,1.131
2021,4,2,87.1228950197062,87.2618283022907,1.025,2.482
2021,4,3,76.888961892247,77.3949849978568,2.217,4.651
2021,5,1,80.972265503272,80.8631510068112,12.742,14.957
2021,5,2,103.713882673412,99.4283055241641,17.684,11.508
2021,5,3,78.7459156682745,75.1710346279339,5.123,21.378
2021,6,1,74.2042346838084,73.8304016246919,19.832,28.052
2021,6,2,67.6907082224177,76.7128874388255,24.294,28.099
2021,6,3,95.7894947593926,86.7173076923077,41.561,33.742
2021,7,1,93.7952404964458,84.4481556640871,39.47,51.113
