"Year","Month","Dekad","NDVI","Average"
2019,1,1,0.2972979,0.294569
2019,1,2,0.2898582,0.284848
2019,1,3,0.2719826,0.2662119
2019,2,1,0.2622564,0.2569657
2019,2,2,0.2518163,0.2481465
2019,2,3,0.2437032,0.2397741
2019,3,1,0.2353422,0.2245136
2019,3,2,0.2310306,0.2189366
2019,3,3,0.2250309,0.2151208
2019,4,1,0.2200052,0.2138067
2019,4,2,0.2204299,0.2160634
2019,4,3,0.2243036,0.2194345
2019,5,1,0.2273541,0.2236412
2019,5,2,0.2355864,0.2288174
2019,5,3,0.2813141,0.2456159
2019,6,1,0.3216088,0.2611436
2019,6,2,0.3663498,0.2828579
2019,6,3,0.4038357,0.3110313
2019,7,1,0.4772345,0.3857713
2019,7,2,0.5144543,0.4310305
2019,7,3,0.551904,0.4802361
2019,8,1,0.6075147,0.5737087
2019,8,2,0.6208503,0.6070682
2019,8,3,0.6218086,0.6262532
2019,9,1,0.6089051,0.6308979
2019,9,2,0.5684415,0.6058998
2019,9,3,0.5524792,0.5828827
2019,10,1,0.5421003,0.5553763
2019,10,2,0.5354836,0.5251493
2019,10,3,0.5173162,0.4612158
2019,11,1,0.5006629,0.4295493
2019,11,2,0.4788893,0.4002299
2019,11,3,0.4299546,0.355332
2019,12,1,0.4063772,0.3395893
2019,12,2,0.383372,0.3263586
2019,12,3,0.3640922,0.315148
2020,1,1,N/A,0.294569
2020,1,2,0.3198628,0.284848
2020,1,3,0.297385,0.2662119
2020,2,1,0.288531,0.2569657
2020,2,2,0.2799401,0.2481465
2020,2,3,0.2699563,0.2397741
2020,3,1,0.2515557,0.2245136
2020,3,2,0.2446494,0.2189366
2020,3,3,0.2388445,0.2151208
2020,4,1,0.2345275,0.2138067
2020,4,2,0.2318592,0.2160634
2020,4,3,0.233041,0.2194345
2020,5,1,0.2344863,0.2236412
2020,5,2,0.2366722,0.2288174
2020,5,3,0.2463159,0.2456159
2020,6,1,0.2564209,0.2611436
2020,6,2,0.275395,0.2828579
2020,6,3,0.3087021,0.3110313
2020,7,1,0.4174551,0.3857713
2020,7,2,0.4828192,0.4310305
2020,7,3,0.5409735,0.4802361
2020,8,1,0.6146451,0.5737087
2020,8,2,0.6341388,0.6070682
2020,8,3,0.6422759,0.6262532
2020,9,1,0.6388374,0.6308979
2020,9,2,0.6124397,0.6058998
2020,9,3,0.5955849,0.5828827
2020,10,1,0.5788321,0.5553763
2020,10,2,0.5607968,0.5251493
2020,10,3,0.5145294,0.4612158
2020,11,1,0.4846291,0.4295493
2020,11,2,0.4532905,0.4002299
2020,11,3,0.404108,0.355332
2020,12,1,0.3873446,0.3395893
2020,12,2,0.3780921,0.3263586
2020,12,3,N/A,0.315148
2021,1,1,N/A,0.294569
2021,1,2,N/A,0.284848
2021,1,3,N/A,0.2662119
2021,2,1,N/A,0.2569657
2021,2,2,N/A,0.2481465
2021,2,3,N/A,0.2397741
2021,3,1,N/A,0.2245136
2021,3,2,N/A,0.2189366
2021,3,3,N/A,0.2151208
2021,4,1,N/A,0.2138067
2021,4,2,N/A,0.2160634
2021,4,3,N/A,0.2194345
2021,5,1,N/A,0.2236412
2021,5,2,N/A,0.2288174
2021,5,3,N/A,0.2456159
2021,6,1,N/A,0.2611436
2021,6,2,N/A,0.2828579
2021,6,3,N/A,0.3110313
2021,7,1,N/A,0.3857713
2021,7,2,N/A,0.4310305
2021,7,3,N/A,0.4802361
2021,8,1,N/A,0.5737087
2021,8,2,N/A,0.6070682
2021,8,3,N/A,0.6262532
2021,9,1,N/A,0.6308979
2021,9,2,N/A,0.6058998
2021,9,3,N/A,0.5828827
2021,10,1,N/A,0.5553763
2021,10,2,N/A,0.5251493
2021,10,3,N/A,0.4612158
2021,11,1,N/A,0.4295493
2021,11,2,N/A,0.4002299
2021,11,3,N/A,0.355332
2021,12,1,N/A,0.3395893
2021,12,2,N/A,0.3263586
2021,12,3,N/A,0.315148