"Year","Month","Dekad","1 Month Anomaly (%)","3 Months Anomaly (%)","Value","Average"
2017,11,2,50.2274957623339,86.4073535152784,0.367,0.233
2017,11,3,97.2483110891415,90.1983770708359,0.09,0.095
2017,12,1,101.683925287913,93.3367768595041,0.05,0.005
2017,12,2,100.39603960396,85.8735737846753,0,0
2017,12,3,100.449775112444,67.0059825126553,0,0
2018,1,1,100,50.0584503639509,0,0
2018,1,2,100,50.4936697601328,0,0
2018,1,3,100,97.6200279996706,0,0
2018,2,1,100,101.683925287913,0,0
2018,2,2,100.06,100.455445544554,0.006,0
2018,2,3,106.496473626701,106.940031771247,0.715,0.067
2018,3,1,104.245933278191,104.245933278191,0.622,0.814
2018,3,2,101.862612433336,101.910371726498,1.46,1.682
2018,3,3,116.672876304024,120.648073712201,6.707,3.608
2018,4,1,108.949573062671,110.439923762107,8.883,9.538
2018,4,2,109.24037409213,109.247784506746,18.329,17.058
2018,4,3,103.0692915827,107.972909855208,22.629,21.463
2018,5,1,104.854048763882,106.605415948885,47.609,45.483
2018,5,2,109.155730081637,109.79307009826,46.518,39.178
2018,5,3,113.847815999612,112.320074136003,60.259,49.73
2018,6,1,104.15522474346,105.222067317267,41.766,53.31
2018,6,2,103.140933740572,106.532595582933,53.444,47.39
2018,6,3,88.6694518293455,100.856087204913,41.874,55.179
2018,7,1,95.9363655776212,100.792180721668,74.39,74.751
2018,7,2,108.88980039543,107.382801198649,110.004,77.049
2018,7,3,104.359130677024,102.230103893062,64.09,85.887
2018,8,1,102.15894286246,100.741373159555,79.378,84.968
2018,8,2,106.61459045409,106.723956193733,135.062,89.774
2018,8,3,124.050207917295,108.943233009123,130.258,101.189
2018,9,1,132.862386208899,113.020697762291,109.112,88.383
2018,9,2,112.442301142745,109.619424160514,60.973,76.43
2018,9,3,96.5001015559972,109.255261137868,62.22,76.28
2018,10,1,84.8230961906922,109.42293107932,42.563,44.493
2018,10,2,76.9421164618525,102.191226371479,9.25,30.43
2018,10,3,78.6445961298318,105.971475355676,21.949,21.584
2018,11,1,70.9607671095513,108.347012156418,4.091,1.81
2018,11,2,108.442620513278,100.002218121163,0.426,0.233
2018,11,3,121.725160652496,91.7378151644946,0.258,0.095
2018,12,1,103.609793864318,81.0192837465565,0.022,0.005
2018,12,2,101.782178217822,81.5330124912129,0,0
2018,12,3,100.169915042479,81.5085135757018,0,0