"Year","Month","Dekad","NDVI Anomaly"
2019,1,1,101.205436957171
2019,1,2,101.943261409985
2019,1,3,101.697460832443
2019,2,1,101.629289942469
2019,2,2,101.610263940746
2019,2,3,101.671000042945
2019,3,1,101.986592024554
2019,3,2,102.110485508337
2019,3,3,102.174243007628
2019,4,1,102.190479063787
2019,4,2,102.100325331321
2019,4,3,101.971311504091
2019,5,1,101.77724795042
2019,5,2,101.57153854034
2019,5,3,101.279834920759
2019,6,1,101.191351244774
2019,6,2,101.113283159804
2019,6,3,101.039449299883
2019,7,1,100.892437346228
2019,7,2,100.876848278203
2019,7,3,100.893400150142
2019,8,1,100.937057713389
2019,8,2,100.959805658823
2019,8,3,100.94328180097
2019,9,1,100.916265435216
2019,9,2,100.832784657385
2019,9,3,100.794091194814
2019,10,1,100.947225244585
2019,10,2,101.168681717636
2019,10,3,101.8441132051
2019,11,1,102.207217125725
2019,11,2,102.566883779138
2019,11,3,103.087139011727
2019,12,1,103.351183365302
2019,12,2,103.673109355369
2019,12,3,103.948477988877
2020,1,1,N/A,
2020,1,2,103.840719086526
2020,1,3,102.428152036153
2020,2,1,101.715273255053
2020,2,2,100.347601926138
2020,2,3,99.3863147645143
2020,3,1,98.8974031015047
2020,3,2,99.2412877836434
2020,3,3,99.5216786075378
2020,4,1,99.8068364689563
2020,4,2,100.965392284241
2020,4,3,101.555482516311
2020,5,1,101.9287780999
2020,5,2,102.070732171342
2020,5,3,101.693566491303
2020,6,1,101.279244078273
2020,6,2,100.904261486851
2020,6,3,100.69988484641
2020,7,1,100.33251111393
2020,7,2,100.252990224529
2020,7,3,100.181539881779
2020,8,1,99.9354927294767
2020,8,2,99.8422292689653
2020,8,3,99.7771910697021
2020,9,1,99.778450052449
2020,9,2,99.9272015361649
2020,9,3,100.027587051784
2020,10,1,100.242691035852
2020,10,2,100.457347878973
2020,10,3,101.165354774958
2020,11,1,101.710630087829
2020,11,2,102.434557358646
2020,11,3,104.58954846452
2020,12,1,106.163566868882
2020,12,2,108.252667583841
2020,12,3,N/A,
2021,1,1,N/A,
2021,1,2,N/A,
2021,1,3,N/A,
2021,2,1,N/A,
2021,2,2,N/A,
2021,2,3,N/A,
2021,3,1,N/A,
2021,3,2,N/A,
2021,3,3,N/A,
2021,4,1,N/A,
2021,4,2,N/A,
2021,4,3,N/A,
2021,5,1,N/A,
2021,5,2,N/A,
2021,5,3,N/A,
2021,6,1,N/A,
2021,6,2,N/A,
2021,6,3,N/A,
2021,7,1,N/A,
2021,7,2,N/A,
2021,7,3,N/A,
2021,8,1,N/A,
2021,8,2,N/A,
2021,8,3,N/A,
2021,9,1,N/A,
2021,9,2,N/A,
2021,9,3,N/A,
2021,10,1,N/A,
2021,10,2,N/A,
2021,10,3,N/A,
2021,11,1,N/A,
2021,11,2,N/A,
2021,11,3,N/A,
2021,12,1,N/A,
2021,12,2,N/A,
2021,12,3,N/A,